movie_ID,keywords
912649,"hero, superhero, anti hero, villain, alien life-form, based on comic, sequel, aftercreditsstinger, woman director, absurd"
1034541,"monster, post-traumatic stress disorder (ptsd), angel, shower, child murder, santa claus, college, clown, bartender, gore, dormitory, sequel, serial killer, teenage girl, slasher, chainsaw, massacre, mental illness, disfigured face, mental asylum, cousin cousin relationship, mall santa, killer clown, terrorist bombing, christmas horror, evil clown, christmas spirit, christmas, murder of parents, orphan siblings, supernatural power, death of a child, supernatural horror, bar, bloody, independent film, blood, low budget, megaslasher, scary, bewildered, serial killers"
1184918,"robot, based on children's book, aftercreditsstinger, duringcreditsstinger, adopted son, kids, traditional parenting"
1118031,"based on novel or book, cat, human animal relationship, galicia, spain, contagion spread, zombie, neighbor neighbor relationship, zombie apocalypse, traumatized man"
558449,"epic, gladiator, roman empire, ancient rome, sequel, evil tyrant, sword and sandal, sword fighting, second part, optimistic"
533535,"hero, superhero, anti hero, mutant, breaking the fourth wall, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), mutants, superhero teamup"
933260,"new year's eve, capitalism, black market, identity, affectation, beauty, satire, aging, celebrity, female protagonist, los angeles, california, has been, aerobics, disfigurement, woman director, beauty standards, insecure woman, toxic masculinity, drug, body horror, youth, actress, vibrant"
1124641,"hitman, mi6, long lost daughter, cia agent"
698687,"based on toy, giant robot, aftercreditsstinger, duringcreditsstinger, buddy movie, brothers-in-arms relationship, origin story, friends to enemies, alien robot, suspenseful, cheerful, exhilarated"
845781,"bounty hunter, holiday, kidnapping, santa claus, polar bear, christmas, action comedy, christmas eve, family comedy, fantasy comedy, excited"
791042,
945961,"alien life-form, sequel, alien, space, alien contact, alien monster, alien encounter, space capsule, alien hostility, ambiguous"
179387,"massage, philippines, massage parlor, softcore, masseur, gay theme, boys' love (bl)"
519182,"superhero, villain, sequel, super villain, aftercreditsstinger, duringcreditsstinger, calm, illumination, kids, hilarious"
1100782,"drug dealer, new york city, suicide, concert, delusion, trauma, hallucination, addiction, sequel, murder, curse, car accident, scar, demon, guilt, pop music, evil, sobriety, shocking, self-harm, delusional, popstar, smile, supernatural horror, body horror, absurd, tour, horrified"
1051896,"survival, fear, family, isolated farmhouse, calm, relaxed, post apocalypse, anxiety, science fiction, post-apocalyptic"
1142518,"robber, lovers, heist, infamous"
