movie_ID,director,top_actors
912649,Kelly Marcel,"Tom Hardy, Chiwetel Ejiofor, Juno Temple"
1034541,Damien Leone,"Lauren LaVera, David Howard Thornton, Samantha Scaffidi"
1184918,Chris Sanders,"Lupita Nyong'o, Pedro Pascal, Kit Connor"
1118031,Carles Torrens,"Francisco Ortiz, José María Yázpik, Berta Vázquez"
558449,Ridley Scott,"Paul Mescal, Denzel Washington, Pedro Pascal"
533535,Shawn Levy,"Ryan Reynolds, Hugh Jackman, Emma Corrin"
933260,Coralie Fargeat,"Demi Moore, Margaret Qualley, Dennis Quaid"
1124641,Roel Reiné,"Aaron Eckhart, Tim Roth, Abigail Breslin"
698687,Josh Cooley,"Chris Hemsworth, Brian Tyree Henry, Scarlett Johansson"
845781,Jake Kasdan,"Dwayne Johnson, Chris Evans, Lucy Liu"
791042,Adam Stern,"Cara Gee, Peter Mooney, Aaron Abrams"
945961,Fede Álvarez,"Cailee Spaeny, David Jonsson, Archie Renaux"
179387,Joel Lamangan,"Paolo Serrano, Joash Balejado, Marco Morales"
519182,Chris Renaud,"Steve Carell, Kristen Wiig, Will Ferrell"
1100782,Parker Finn,"Naomi Scott, Rosemarie DeWitt, Lukas Gage"
1051896,Benjamin Brewer,"Nicolas Cage, Jaeden Martell, Maxwell Jenkins"
1142518,Mélanie Laurent,"Lucas Bravo, Yvan Attal, Léa Luce Busato"
402431,Jon M. Chu,"Cynthia Erivo, Ariana Grande, Jeff Goldblum"
1116490,Randall Emmett,"John Travolta, Kristin Davis, Lukas Haas"
1041317,Aaron Huggett,"Michael Lake, Christopher Cordell, Sylvain Plasse"
1022789,Kelsey Mann,"Amy Poehler, Maya Hawke, Kensington Tallman"
335983,Ruben Fleischer,"Tom Hardy, Michelle Williams, Riz Ahmed"
1084736,Alexandre de La Patellière,"Pierre Niney, Bastien Bouillon, Anaïs Demoustier"
1196470,Frédéric Jardin,"Andreas Pietschmann, Émilie Dequenne, Lucas Ebel"
928480,David Henrie,"Mel Gibson, Mason Thames, Julian Lerner"
1014505,Naoyuki Ito,"Satoshi Hino, Yumi Hara, Masayuki Katou"
1100856,Serik Beyseu,"Arthur Beschastny, Maryana Spivak, Sofya Shidlovskaya"
1029235,E.L. Katz,"Samara Weaving, Vic Carmen Sonne, Katariina Unt"
580489,Andy Serkis,"Tom Hardy, Woody Harrelson, Michelle Williams"
98,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen"
1094974,Nick McKinless,"Scott Adkins, Alice Eve, Jack Parr"
976734,Pierre Morel,"Kate Beckinsale, Rupert Friend, Saffron Burrows"
1288998,Nicolás Onetti,"Agustin Olcese, Mario Alarcón, Carlos Portaluppi"
592831,Francis Ford Coppola,"Adam Driver, Giancarlo Esposito, Nathalie Emmanuel"
889737,Todd Phillips,"Joaquin Phoenix, Lady Gaga, Brendan Gleeson"
1331375,Michael S. Ojeda,"Oksana Orlan, Sebastián Carvajal, María del Rosario"
1241982,David G. Derrick Jr.,"Auliʻi Cravalho, Dwayne Johnson, Hualālai Chung"
1328814,Carlos Ayala,"Sarah McDonald, Breanna Rossi, Adela Perez"
1371727,Garth Jennings,"Matthew McConaughey, Tori Kelly, Nick Kroll"
1144962,Michael Su,"Tom Arnold, Tania Fox, Jolene Anderson"
1159311,Tensai Okamura,"Daiki Yamashita, Nobuhiko Okamoto, Yuki Kaji"
1287717,Hugo Cardozo,"Pablo Martínez, Lucas Caballero, Rafael Alfaro"
573435,Adil El Arbi,"Will Smith, Martin Lawrence, Vanessa Hudgens"
157336,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Michael Caine"
269509,Kim Burdon,"Stephen Fry, Hugh Laurie, Freddie Highmore"
917496,Tim Burton,"Michael Keaton, Winona Ryder, Catherine O'Hara"
1140648,Ian Hunt Duffy,"Millie Brady, Pollyanna McIntosh, Akshay Kumar"
420634,Damien Leone,"David Howard Thornton, Jenna Kanell, Samantha Scaffidi"
1063877,Adam Schindler,"Kelsey Asbille, Finn Wittrock, Daniel Francis"
978796,Colm McCarthy,"Sam Claflin, Antonia Thomas, Caréll Vincent Rhoden"
1125510,Galder Gaztelu-Urrutia,"Milena Smit, Hovik Keuchkerian, Natalia Tena"
1151949,Timo Tjahjanto,"Aurora Ribero, Hana Malasan, Andri Mashadi"
1010581,Domingo González,"Nicole Wallace, Gabriel Guevara, Marta Hazas"
827931,Hannah Macpherson,"Madison Bailey, Antonia Gentry, Griffin Gluck"
726139,Kim Tae-gon,"Lee Sun-kyun, Ju Ji-hoon, Kim Hee-won"
155,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart"
823219,Gints Zilbalodis,
957452,Rupert Sanders,"Bill Skarsgård, FKA twigs, Danny Huston"
1145491,Jamaal Burden,"Tito Ortiz, Cristiane Justino, Kelsey Johnson"
482600,Kim Moo-won,"Jeon Ji-hak, Choi Min-ho, Saki Mizumi"
1288575,Rudi Soedjarwo,"Christine Hakim, Adinia Wirasti, Fedi Nuril"
1139095,Spider One,"Krsy Fox, Jon Sklaroff, Elizabeth Phoenix Caro"
972614,Michael Keaton,"Michael Keaton, Al Pacino, Marcia Gay Harden"
1354627,Ian Vasquez,"Tom Kenny, Bill Fagerbakke, Rodger Bumpass"
616446,Max Barbakow,"Josh Brolin, Peter Dinklage, Glenn Close"
663712,Damien Leone,"David Howard Thornton, Lauren LaVera, Elliott Fullam"
947891,Megan Park,"Maisy Stella, Aubrey Plaza, Percy Hynes White"
639720,John Krasinski,"Cailey Fleming, Ryan Reynolds, John Krasinski"
1079091,Justin Baldoni,"Blake Lively, Justin Baldoni, Jenny Slate"
